"image name ('number of images in this post'_'post number'_'position of the image in this post'_'db name'_'whether image is bw'_'whether image is uploaded to instagram or before uploaded'_'whether image has been ""no modification"", ""resized"" or ""modified""'_'filter name'_'additional data')",instagram post link,number of images in that post (1 - 6),"format (jpg, jpeg, heic, heif)","Upload quality (original, resized)",account info,color or gray_scaled
4_01_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCczy0HpG67/?igshid=1j5k6a1hnrtbz,4,jpg,resized,islab_compressed_jpg,color
4_01_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCczy0HpG67/?igshid=1j5k6a1hnrtbz,4,jpg,resized,islab_compressed_jpg,color
4_01_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCczy0HpG67/?igshid=1j5k6a1hnrtbz,4,jpg,resized,islab_compressed_jpg,color
4_01_4_com_cr_org_res_nfit,https://www.instagram.com/p/CCczy0HpG67/?igshid=1j5k6a1hnrtbz,4,jpg,resized,islab_compressed_jpg,color
4_02_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcz3HaJSu_/?igshid=1g1cpzbsqmhip,4,jpg,resized,islab_compressed_jpg,color
4_02_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCcz3HaJSu_/?igshid=1g1cpzbsqmhip,4,jpg,resized,islab_compressed_jpg,color
4_02_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCcz3HaJSu_/?igshid=1g1cpzbsqmhip,4,jpg,resized,islab_compressed_jpg,color
4_02_4_com_cr_org_res_nfit,https://www.instagram.com/p/CCcz3HaJSu_/?igshid=1g1cpzbsqmhip,4,jpg,resized,islab_compressed_jpg,color
4_03_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcz6stpxMz/?igshid=16gagn8tl8v4y,4,jpg,resized,islab_compressed_jpg,color
4_03_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCcz6stpxMz/?igshid=16gagn8tl8v4y,4,jpg,resized,islab_compressed_jpg,color
4_03_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCcz6stpxMz/?igshid=16gagn8tl8v4y,4,jpg,resized,islab_compressed_jpg,color
4_03_4_com_cr_org_res_nfit,https://www.instagram.com/p/CCcz6stpxMz/?igshid=16gagn8tl8v4y,4,jpg,resized,islab_compressed_jpg,color
4_04_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCcz-RWJkEY/?igshid=yvnjhgzhzxdl,4,jpg,resized,islab_compressed_jpg,color
4_04_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCcz-RWJkEY/?igshid=yvnjhgzhzxdl,4,jpg,resized,islab_compressed_jpg,color
4_04_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCcz-RWJkEY/?igshid=yvnjhgzhzxdl,4,jpg,resized,islab_compressed_jpg,color
4_04_4_com_cr_org_res_nfit,https://www.instagram.com/p/CCcz-RWJkEY/?igshid=yvnjhgzhzxdl,4,jpg,resized,islab_compressed_jpg,color
4_05_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0BvIpkfK/?igshid=10ydl3g6u4fbt,4,jpg,resized,islab_compressed_jpg,color
4_05_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0BvIpkfK/?igshid=10ydl3g6u4fbt,4,jpg,resized,islab_compressed_jpg,color
4_05_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0BvIpkfK/?igshid=10ydl3g6u4fbt,4,jpg,resized,islab_compressed_jpg,color
4_05_4_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0BvIpkfK/?igshid=10ydl3g6u4fbt,4,jpg,resized,islab_compressed_jpg,color
4_06_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0F3jpBXR/?igshid=1ud1efxsqd588,4,jpg,resized,islab_compressed_jpg,color
4_06_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0F3jpBXR/?igshid=1ud1efxsqd588,4,jpg,resized,islab_compressed_jpg,color
4_06_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0F3jpBXR/?igshid=1ud1efxsqd588,4,jpg,resized,islab_compressed_jpg,color
4_06_4_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0F3jpBXR/?igshid=1ud1efxsqd588,4,jpg,resized,islab_compressed_jpg,color
4_07_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0JKVJdNh/?igshid=1iixt2p18pmvl,4,jpg,resized,islab_compressed_jpg,color
4_07_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0JKVJdNh/?igshid=1iixt2p18pmvl,4,jpg,resized,islab_compressed_jpg,color
4_07_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0JKVJdNh/?igshid=1iixt2p18pmvl,4,jpg,resized,islab_compressed_jpg,color
4_07_4_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0JKVJdNh/?igshid=1iixt2p18pmvl,4,jpg,resized,islab_compressed_jpg,color
4_08_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0M8iJv70/?igshid=1h4mbbbv0nfgc,4,jpg,resized,islab_compressed_jpg,color
4_08_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0M8iJv70/?igshid=1h4mbbbv0nfgc,4,jpg,resized,islab_compressed_jpg,color
4_08_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0M8iJv70/?igshid=1h4mbbbv0nfgc,4,jpg,resized,islab_compressed_jpg,color
4_08_4_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0M8iJv70/?igshid=1h4mbbbv0nfgc,4,jpg,resized,islab_compressed_jpg,color
4_09_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0P7WpGNr/?igshid=oljd8apydtdu,4,jpg,resized,islab_compressed_jpg,color
4_09_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0P7WpGNr/?igshid=oljd8apydtdu,4,jpg,resized,islab_compressed_jpg,color
4_09_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0P7WpGNr/?igshid=oljd8apydtdu,4,jpg,resized,islab_compressed_jpg,color
4_09_4_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0P7WpGNr/?igshid=oljd8apydtdu,4,jpg,resized,islab_compressed_jpg,color
4_10_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0TggpyYH/?igshid=45z5d3cwcp1,4,jpg,resized,islab_compressed_jpg,color
4_10_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0TggpyYH/?igshid=45z5d3cwcp1,4,jpg,resized,islab_compressed_jpg,color
4_10_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0TggpyYH/?igshid=45z5d3cwcp1,4,jpg,resized,islab_compressed_jpg,color
4_10_4_com_cr_org_res_nfit,https://www.instagram.com/p/CCc0TggpyYH/?igshid=45z5d3cwcp1,4,jpg,resized,islab_compressed_jpg,color
4_01_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCczy0HpG67/?igshid=1j5k6a1hnrtbz,4,jpg,resized,islab_compressed_jpg,color
4_01_2_com_cr_ins_res_nfit,https://www.instagram.com/p/CCczy0HpG67/?igshid=1j5k6a1hnrtbz,4,jpg,resized,islab_compressed_jpg,color
4_01_3_com_cr_ins_res_nfit,https://www.instagram.com/p/CCczy0HpG67/?igshid=1j5k6a1hnrtbz,4,jpg,resized,islab_compressed_jpg,color
4_01_4_com_cr_ins_res_nfit,https://www.instagram.com/p/CCczy0HpG67/?igshid=1j5k6a1hnrtbz,4,jpg,resized,islab_compressed_jpg,color
4_02_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcz3HaJSu_/?igshid=1g1cpzbsqmhip,4,jpg,resized,islab_compressed_jpg,color
4_02_2_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcz3HaJSu_/?igshid=1g1cpzbsqmhip,4,jpg,resized,islab_compressed_jpg,color
4_02_3_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcz3HaJSu_/?igshid=1g1cpzbsqmhip,4,jpg,resized,islab_compressed_jpg,color
4_02_4_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcz3HaJSu_/?igshid=1g1cpzbsqmhip,4,jpg,resized,islab_compressed_jpg,color
4_03_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcz6stpxMz/?igshid=16gagn8tl8v4y,4,jpg,resized,islab_compressed_jpg,color
4_03_2_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcz6stpxMz/?igshid=16gagn8tl8v4y,4,jpg,resized,islab_compressed_jpg,color
4_03_3_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcz6stpxMz/?igshid=16gagn8tl8v4y,4,jpg,resized,islab_compressed_jpg,color
4_03_4_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcz6stpxMz/?igshid=16gagn8tl8v4y,4,jpg,resized,islab_compressed_jpg,color
4_04_1_com_cr_ins_res_nfit,https://www.instagram.com/p/CCcz-RWJkEY/?igshid=yvnjhgzhzxdl,4,jpg,resized,islab_compressed_jpg,color
