"image name ('number of images in this post'_'post number'_'position of the image in this post'_'db name'_'whether image is bw'_'whether image is uploaded to instagram or before uploaded'_'whether image has been ""no modification"", ""resized"" or ""modified""'_'filter name'_'additional data')",instagram post link,number of images in that post (1 - 6),"format (jpg, jpeg, heic, heif)","Upload quality (original, resized)",account info,color or gray_scaled
2_01_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCctNANpyU5/?igshid=1tulsre9dm193,2,jpg,resized,islab_compressed_jpg,color
2_01_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCctNANpyU5/?igshid=1tulsre9dm193,2,jpg,resized,islab_compressed_jpg,color
2_02_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCctPyUpQij/?igshid=1hygfrgjck9ce,2,jpg,resized,islab_compressed_jpg,color
2_02_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCctPyUpQij/?igshid=1hygfrgjck9ce,2,jpg,resized,islab_compressed_jpg,color
2_03_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCctRhRpvlB/?igshid=1of4rc4wqlc0g,2,jpg,resized,islab_compressed_jpg,color
2_03_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCctRhRpvlB/?igshid=1of4rc4wqlc0g,2,jpg,resized,islab_compressed_jpg,color
2_04_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCctUFoJOr8/?igshid=5pj9hbjpleje,2,jpg,resized,islab_compressed_jpg,color
2_04_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCctUFoJOr8/?igshid=5pj9hbjpleje,2,jpg,resized,islab_compressed_jpg,color
2_05_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCctaQ1Js2V/?igshid=1egaptknp1umv,2,jpg,resized,islab_compressed_jpg,color
2_05_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCctaQ1Js2V/?igshid=1egaptknp1umv,2,jpg,resized,islab_compressed_jpg,color
2_06_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCctcEAJStJ/?igshid=1m906u9askvve,2,jpg,resized,islab_compressed_jpg,color
