"image name ('number of images in this post'_'post number'_'position of the image in this post'_'db name'_'whether image is bw'_'whether image is uploaded to instagram or before uploaded'_'whether image has been ""no modification"", ""resized"" or ""modified""'_'filter name'_'additional data')",instagram post link,number of images in that post (1 - 6),"format (jpg, jpeg, heic, heif)","Upload quality (original, resized)",account info,color or gray_scaled
6_01_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCc7rInJaZm/?igshid=xn28krpksjt4,6,jpg,resized,islab_compressed_jpg,color
6_01_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCc7rInJaZm/?igshid=xn28krpksjt4,6,jpg,resized,islab_compressed_jpg,color
6_01_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCc7rInJaZm/?igshid=xn28krpksjt4,6,jpg,resized,islab_compressed_jpg,color
6_01_4_com_cr_org_res_nfit,https://www.instagram.com/p/CCc7rInJaZm/?igshid=xn28krpksjt4,6,jpg,resized,islab_compressed_jpg,color
6_01_5_com_cr_org_res_nfit,https://www.instagram.com/p/CCc7rInJaZm/?igshid=xn28krpksjt4,6,jpg,resized,islab_compressed_jpg,color
6_01_6_com_cr_org_res_nfit,https://www.instagram.com/p/CCc7rInJaZm/?igshid=xn28krpksjt4,6,jpg,resized,islab_compressed_jpg,color
6_02_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCc78Y4JAvQ/?igshid=18rgd0kyw2oxj,6,jpg,resized,islab_compressed_jpg,color
6_02_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCc78Y4JAvQ/?igshid=18rgd0kyw2oxj,6,jpg,resized,islab_compressed_jpg,color
6_02_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCc78Y4JAvQ/?igshid=18rgd0kyw2oxj,6,jpg,resized,islab_compressed_jpg,color
6_02_4_com_cr_org_res_nfit,https://www.instagram.com/p/CCc78Y4JAvQ/?igshid=18rgd0kyw2oxj,6,jpg,resized,islab_compressed_jpg,color
6_02_5_com_cr_org_res_nfit,https://www.instagram.com/p/CCc78Y4JAvQ/?igshid=18rgd0kyw2oxj,6,jpg,resized,islab_compressed_jpg,color
6_02_6_com_cr_org_res_nfit,https://www.instagram.com/p/CCc78Y4JAvQ/?igshid=18rgd0kyw2oxj,6,jpg,resized,islab_compressed_jpg,color
6_03_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCc8DdgJRnZ/?igshid=1pbuefm0zrnrl,6,jpg,resized,islab_compressed_jpg,color
6_03_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCc8DdgJRnZ/?igshid=1pbuefm0zrnrl,6,jpg,resized,islab_compressed_jpg,color
6_03_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCc8DdgJRnZ/?igshid=1pbuefm0zrnrl,6,jpg,resized,islab_compressed_jpg,color
6_03_4_com_cr_org_res_nfit,https://www.instagram.com/p/CCc8DdgJRnZ/?igshid=1pbuefm0zrnrl,6,jpg,resized,islab_compressed_jpg,color
6_03_5_com_cr_org_res_nfit,https://www.instagram.com/p/CCc8DdgJRnZ/?igshid=1pbuefm0zrnrl,6,jpg,resized,islab_compressed_jpg,color
6_03_6_com_cr_org_res_nfit,https://www.instagram.com/p/CCc8DdgJRnZ/?igshid=1pbuefm0zrnrl,6,jpg,resized,islab_compressed_jpg,color
6_04_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCc8IJCJTOJ/?igshid=9ya38rv3faky,6,jpg,resized,islab_compressed_jpg,color
6_04_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCc8IJCJTOJ/?igshid=9ya38rv3faky,6,jpg,resized,islab_compressed_jpg,color
6_04_3_com_cr_org_res_nfit,https://www.instagram.com/p/CCc8IJCJTOJ/?igshid=9ya38rv3faky,6,jpg,resized,islab_compressed_jpg,color
6_04_4_com_cr_org_res_nfit,https://www.instagram.com/p/CCc8IJCJTOJ/?igshid=9ya38rv3faky,6,jpg,resized,islab_compressed_jpg,color
6_04_5_com_cr_org_res_nfit,https://www.instagram.com/p/CCc8IJCJTOJ/?igshid=9ya38rv3faky,6,jpg,resized,islab_compressed_jpg,color
6_04_6_com_cr_org_res_nfit,https://www.instagram.com/p/CCc8IJCJTOJ/?igshid=9ya38rv3faky,6,jpg,resized,islab_compressed_jpg,color
6_05_1_com_cr_org_res_nfit,https://www.instagram.com/p/CCc8LZAJpYa/?igshid=mxkb8tnsjq1l,6,jpg,resized,islab_compressed_jpg,color
6_05_2_com_cr_org_res_nfit,https://www.instagram.com/p/CCc8LZAJpYa/?igshid=mxkb8tnsjq1l,6,jpg,resized,islab_compressed_jpg,color
